index,train_wiki40b_en,train_wiki40b_fr,train_wiki40b_de,train_wiki40b_es,train_wiki40b_it,train_wiki40b_ru
1,0.0756,0.263,0.361,0.2088,0.0176,0.0744
2,0.7176,0.2078,0.0022,0.0,0.0718,0.0004
3,0.4366,0.2148,0.0076,0.095,0.0636,0.1824
4,0.4402,0.0,0.0,0.0,0.2808,0.279
5,0.0034,0.9946,0.0,0.0,0.0,0.002
6,0.0,0.066,0.8748,0.0548,0.0,0.0044
7,0.0728,0.164,0.595,0.1452,0.0066,0.0164
8,0.9932,0.0,0.0,0.0,0.0016,0.0054
9,0.4512,0.0946,0.0346,0.1048,0.2562,0.0586
10,0.788,0.2036,0.0,0.0,0.008,0.0004
11,0.1168,0.3562,0.0284,0.4386,0.0064,0.0538
12,0.0,0.0,0.2844,0.0,0.0002,0.7154
13,0.1758,0.7706,0.0188,0.0,0.0248,0.01
14,0.9046,0.0,0.0,0.0266,0.0,0.0688
15,0.8788,0.0034,0.0012,0.1132,0.0034,0.0
16,0.4696,0.3818,0.0014,0.036,0.0744,0.0368
17,0.9964,0.0,0.0012,0.0,0.0,0.0022
18,0.5292,0.459,0.0,0.0,0.012,0.0
19,0.0078,0.8216,0.0,0.0,0.0,0.1706
20,0.0002,0.9744,0.0,0.0,0.0214,0.004
21,0.0798,0.0244,0.7262,0.009,0.1604,0.0
22,0.4888,0.1318,0.0,0.376,0.0036,0.0
23,0.1426,0.3792,0.061,0.0254,0.247,0.145
24,0.454,0.5292,0.0008,0.0,0.0038,0.0124
25,0.1398,0.2848,0.0914,0.3766,0.1074,0.0
26,0.1976,0.7064,0.0046,0.0864,0.0048,0.0
27,0.0,0.0006,0.0,0.011,0.0,0.9884
28,0.0,0.29,0.0358,0.0034,0.6708,0.0
29,0.0,0.0054,0.0634,0.0,0.0,0.9312
30,0.0262,0.434,0.3678,0.0,0.172,0.0
31,0.075,0.2366,0.1138,0.0896,0.47,0.0148
32,0.0,0.8014,0.0,0.0,0.0,0.1986
33,0.1112,0.076,0.8128,0.0,0.0,0.0
34,0.083,0.0,0.8032,0.09,0.0238,0.0
35,0.1562,0.0264,0.509,0.0076,0.1934,0.1072
36,0.4546,0.0884,0.0016,0.0008,0.0054,0.4494
37,0.5176,0.361,0.0106,0.0182,0.0172,0.075
38,0.0408,0.0152,0.1268,0.3924,0.3618,0.063
39,0.6232,0.3516,0.0,0.0252,0.0,0.0
40,0.3722,0.0008,0.1274,0.3836,0.076,0.04
41,0.2852,0.006,0.0074,0.0206,0.5818,0.099
42,0.041,0.263,0.696,0.0,0.0,0.0
43,0.005,0.0,0.0,0.9944,0.0,0.0006
44,0.1878,0.0218,0.6954,0.0502,0.0408,0.004
45,0.6798,0.223,0.093,0.0,0.0004,0.0038
46,0.4128,0.0858,0.1854,0.0,0.103,0.213
47,0.1762,0.0006,0.0,0.3138,0.5088,0.0004
48,0.7104,0.0,0.1738,0.0,0.0028,0.113
49,0.2512,0.341,0.0206,0.0512,0.046,0.2902
50,0.0,0.4536,0.0108,0.5356,0.0,0.0
51,0.087,0.07,0.0004,0.07,0.0008,0.7718
52,0.0,0.1404,0.0,0.001,0.0,0.8586
53,0.001,0.3088,0.0,0.0,0.6904,0.0
54,0.8774,0.0,0.121,0.0016,0.0,0.0
55,0.6546,0.204,0.0264,0.0,0.0,0.1148
56,0.682,0.0,0.0986,0.0,0.2194,0.0
57,0.0146,0.0842,0.9008,0.0,0.0,0.0004
58,0.5398,0.3042,0.086,0.0452,0.0248,0.0
59,0.9674,0.0106,0.022,0.0,0.0,0.0
60,0.082,0.0414,0.004,0.0,0.285,0.5876
61,0.0,0.0,0.9918,0.0,0.0,0.0082
62,0.338,0.031,0.4122,0.1632,0.0524,0.0032
63,0.1054,0.044,0.0,0.8286,0.0,0.022
64,0.5454,0.0,0.0712,0.2926,0.0032,0.0876
65,0.3046,0.177,0.0046,0.0858,0.0,0.4278
66,0.024,0.5386,0.1594,0.0876,0.1904,0.0
67,0.0,0.8938,0.1048,0.0002,0.001,0.0
68,0.0616,0.0,0.0,0.0,0.0,0.9384
69,0.1382,0.27,0.117,0.1066,0.3254,0.0428
70,0.143,0.3884,0.039,0.0308,0.1602,0.2386
71,0.611,0.003,0.0032,0.098,0.2658,0.019
72,0.2658,0.1692,0.0,0.5574,0.0,0.0076
73,0.312,0.0,0.0,0.117,0.5686,0.0024
74,0.0302,0.108,0.423,0.077,0.06,0.302
75,0.37,0.321,0.0642,0.1192,0.0016,0.124
76,0.0,0.0,0.0006,0.0372,0.9314,0.0308
77,0.9354,0.0,0.0048,0.0598,0.0,0.0
78,0.042,0.4332,0.0034,0.3188,0.123,0.0796
79,0.0314,0.2582,0.0794,0.0868,0.4704,0.0738
80,0.0694,0.2486,0.4534,0.0378,0.0036,0.1872
81,0.6886,0.0,0.006,0.0694,0.23,0.006
82,0.6744,0.0,0.3256,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0024,0.1664,0.831
84,0.1744,0.247,0.027,0.5134,0.0372,0.0012
85,0.015,0.227,0.1386,0.0864,0.2318,0.3012
86,0.4072,0.0006,0.2774,0.0902,0.0736,0.1508
87,0.0,0.0008,0.929,0.0,0.0,0.0702
88,0.9342,0.0,0.0,0.0658,0.0,0.0
89,0.4342,0.0018,0.0104,0.4976,0.0106,0.0454
90,0.0006,0.3764,0.2618,0.361,0.0,0.0
91,0.5076,0.3828,0.0778,0.0202,0.0,0.0116
92,0.2702,0.0018,0.4666,0.0,0.0,0.2614
93,0.348,0.652,0.0,0.0,0.0,0.0
94,0.0402,0.0,0.1322,0.8254,0.0024,0.0
95,0.0,0.0,0.0012,0.8876,0.0,0.1112
96,0.0016,0.0,0.0036,0.2574,0.7374,0.0
97,0.6628,0.164,0.0988,0.0562,0.018,0.0
98,0.0832,0.2446,0.1656,0.0382,0.0028,0.4658
99,0.0008,0.7284,0.0082,0.002,0.2606,0.0
100,0.0,0.461,0.0,0.2254,0.308,0.0056
101,0.032,0.466,0.2376,0.076,0.0002,0.1884
102,0.0252,0.0,0.6868,0.0,0.288,0.0
103,0.0512,0.2348,0.2774,0.3892,0.0398,0.0072
104,0.0,0.0,0.0,0.5864,0.4136,0.0
105,0.0148,0.008,0.0184,0.7346,0.0638,0.1604
106,0.049,0.4698,0.3306,0.0092,0.0466,0.0948
107,0.8938,0.0,0.0,0.0136,0.0926,0.0
108,0.0,0.1354,0.8542,0.0004,0.0,0.0102
109,0.1498,0.4468,0.0006,0.0028,0.4,0.0
110,0.1274,0.035,0.2484,0.2984,0.2642,0.0266
111,0.1096,0.0,0.8904,0.0,0.0,0.0
112,0.991,0.0042,0.0006,0.0042,0.0,0.0
113,0.8722,0.0,0.0086,0.0142,0.105,0.0
114,0.0,0.0,0.0,0.0012,0.0,0.9988
115,0.983,0.0,0.002,0.0152,0.0,0.0
116,0.3164,0.0,0.0,0.0,0.6596,0.024
117,0.0,0.079,0.2812,0.0,0.6398,0.0
118,0.2372,0.5902,0.1458,0.0,0.027,0.0
119,0.0016,0.0164,0.0078,0.0,0.9744,0.0
120,0.0,0.9646,0.0208,0.0146,0.0,0.0
121,0.0084,0.9348,0.036,0.0,0.0208,0.0
122,0.3432,0.01,0.4654,0.1806,0.0,0.001
123,0.165,0.009,0.2726,0.0426,0.0696,0.4412
124,0.0004,0.0,0.0,0.8944,0.0,0.1052
